,,,,,,State,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute Hepatitis A,462,,Aizawl,3,,8,799,,,,,,,,,12,,,,,,,,1,,,,,,,,,353,,62,20,,,,,,,,,,,,,14,,,,,,88,,,1250,,,,,51,,,,292,,,,,6,,,,,,,,1,1,,,,,,90,5,,,1,3,147,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,75,,,,,,3274
Acute Hepatitis B,6,,Aizawl West,0,,9,1447,,,,,,,,,409,,,,,656,,,,,,,,,16,,,212,,5,296,,,,16,,,,,,,,,81,,,,,,70,,,826,,,,,,,,34,156,10,,,,3,,,,,12,,,273,,1,,,,,127,13,,,,2,196,7,,,,,,,,,,,,,,,,19,5,,,,,,,,,,,,,39,,,,,,4931
Acute Hepatitis E,7,,Akola,1,,10,896,,,,,,389,,,33,,7,,,,,,,,,,,,,,,155,,7,150,,,,99,,,,,,,,,,,,,,,76,,,714,,,,,,,,,167,,,,,7,,,,,71,,,8,,3,,,,,249,,,,1,,100,,,,,,,,,,98,1,,,,,1,,,,,,,,,,,,,,,,,58,,,,3290
Acute Meningoencephalitis (Naegleria fowleri),1,,Alappuzha,0,,11,1344,,,,,,,,,,,,,,,,,1,,,,,,,,,205,,10,150,,,,15,7,23,,,,,,,29,,,,,,86,,,899,,,,,,,,,284,,,,,6,,,,,6,,,,,2,,356,,,218,,,5,,1,420,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,88,,,,,,4219
Acute Respiratandy Illness,50,,Alappuzha West,0,,12,1056,,,,,,35,,,,,,,,,,,,,,,,,,,,263,,17,115,,,,178,15,,,,,,,,,,,,,,160,,,842,,,,,,,,,374,22,,,1,6,,,,,,,,,,,23,67,,,90,,,,,1,147,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,3526
Adenovirus,993,,Alipurduar,0,,13,890,,,,,,15,,,,,,,,,,,,,,,,,,,,319,,12,106,,,,40,,,,,,,,,10,,,,,,14,,,493,,,,,,,,,747,,,,,1,,,,,31,,,,20,,,,,,216,,,,,,30,,,,,,,,,,,,,,,,,,17,,7,,,,,,,,,,,31,,,,3,,3002
Allergic Conjunctivitis,22,,Alirajpur,1,,14,1653,,,,,,88,,,,,,,,,,,,,,,,,,,,229,,,110,,,,79,,,,,,,,,58,,,,,,86,,,1482,,,,,,,,,249,,,,,4,,,,,,,,,1,,,,,,186,,,,,,129,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,20,,,,,,4381
Amoebic Encephalitis,1,,Alluri Sitharama Raju,0,,15,1840,,2,,,,91,,,,,,,,,,,,,,,,,,,,165,,58,47,,,,74,22,,,,1,,,,,,,,,,111,,,1612,,,,,,,,,173,8,306,,,4,,,,,37,,,,,68,,28,,,78,,,,,,13,,,,,,,,,,,,,,,,,,26,,25,,,,,,,,,,,32,,,,,,4821
Animal bite - Dog Bite,113,,Almora,0,,16,1425,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,117,,,,31,,,,,,,,,,,,,,,100,,,2304,,,,,,,,,426,,,,,5,,129,,,,,,,,,,64,,,175,,,,,,36,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,64,,,,3,,5090
Animal bite - Snake Bite,3,,Alwar,0,,17,1412,,12,,,,157,,,,,,,,,,,,,,,,,,,,141,,24,449,1,,,112,,,,,,,,,14,,,,,,154,,,1223,,,,,,,,,190,93,,,,1,,,,,28,,,,,1,,97,,,140,12,,,,,37,,,,,,,,,,,,,,,,,4,17,,58,,,,,,,,,,,,,,,,,4377
Anthrax,28,,Ambedkar,0,,18,968,,2,,2,,43,,,8,,,,,,,,,,5,,,,,,,119,,16,170,,,,104,,,,,,,,,,,,,,,58,,,1648,,,7,,,,,,12,,,,,2,,,1,,,,,,,9,,149,,,94,2,,,,,8,,,,,,,,,,,,,,,,,,,,,24,,,,,7,,,,,,,,,1,,3459
ARI Influenza Like Illness(ILI),19,,Ambedkar Nagar,0,,19,1802,,,,,,,,,,,,,,,,,,,,,,,,,,341,,17,266,,,,368,,,12,,,,,,,,10,,,,18,,,1287,,,,,,,,,147,,,,,6,,10,,,19,,,4,2,33,,166,5,,52,,,,,,19,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4609
Bardhaman,38,,Amethi,0,,20,1117,,5,,,,33,,,,6,,,,117,,,1,,,,,,,,,193,,7,296,,,,178,,,,,,,15,,33,,,,,,36,,,912,,,,,,,,,154,,,11,,1,,,3,,,,,1,18,5,,45,,,28,,,,,,36,19,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,1,,3279
Brucellosis,3,,Amravati,8,,21,1414,32,,,,,,,,,,,,,,,,,,,,,1,,,,182,,18,1245,,,,312,,,,,,25,,,6,,35,,,,62,,,1511,,,,,,,,,90,,,,,1,,,,,,,,,1,17,,13,,,69,,,,1,,26,8,,,,,,,,,,,,,,,,10,2,,32,,7,5,,,,,,,,,,,,3,,5128
Champaran,16,,Amreli,1,,22,2567,,2,,,,169,,,,,,,,,,,,,5,,,,,,,48,,18,621,,,,284,,,,,,,,,30,,,,,,45,,21,1097,14,,,,,,,,127,,,,,2,1,,,,,10,,,,13,,422,,,192,11,,,,,,7,,63,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,5772
Chandipura Virus,1,,Amroha,0,,23,1663,,1,,1,,69,,,,,,,50,,,,,,5,,,,,,,163,,14,784,,,,145,,,,,,,,,25,,,,,,52,,,1131,,,,,,,5,,139,,,,,1,,,2,,24,,,,10,,,24,,,136,,,,,,10,40,,8,,,,,,,,,,,,,,15,,,2,,,,,,,,,,,,,,,,1,4520
Chemical Gas Poisoning,38,,Anakapalli,3,,24,3171,,,,,,,,,,,,,,,,,,,5,,,,,,,31,,62,1017,,,,218,,,,,10,20,,,,,,,,,29,,,75,,,,,,,,,153,,,,,3,,,4,,17,,,,,20,,154,,,63,30,,,,,17,6,,,,,,,,,,,,,,44,,,,,,,,,2,,,,,,,,,,,,,5151
Chickenpox,6888,,Anand,0,,25,2216,,,,,,35,,,,,,,,,,,,,6,,,,,,,184,,6,688,,,,698,,,,,2,,,,249,,,,,,104,,,625,,,,,,,,,194,,,,,3,,,1,,12,,2,,6,,,131,,,62,,,,,,141,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,41,,,,1,5519
Chickenpox and Measles,12,,Anantapur,3,,26,1943,,1,,,,46,,,,,,,,,,,1,,,,,,,,,101,,39,229,,,,389,,,,,,,,,,,,,,,65,,,477,,,,,,,52,,89,,,,,2,,,,,,,,,,33,,155,,,66,,,,1,,28,15,,,,,,,57,,,9,,,,,,2,,,,,,,,,,16,,,,53,,,,1,9,3879
Chikungunya,3013,,Anantnag,0,,27,2671,,,,,,,,,,,,,,,,,1,,,,,,,,,114,,51,434,1,,7,630,,,,,,,,,16,,,,,,71,,,325,,,,,,,,,126,,,,,2,,,1,,,,,,,,,218,,,85,,,,,,48,,,,,,,,,,,,,,,,,,9,,1,,,,,,,,,,,55,,,1,,11,4878
Cholera,18054,,Angul,0,,28,2384,,93,,,,180,,,,,,,,,,,,,2,,,,,,,127,,38,379,,,,686,6,,9,,10,,,,,,38,,,,29,,,348,,,,,,,,,442,22,,,,2,,,30,,,,,,1,,,47,,,71,,,,5,,56,7,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,25,,,,1,6,5056
Crimean Congo Haemandrhagic Fever (CCHF),11,,Anjaw,0,,29,2272,,88,,,,,,,,,,,,,,,1,3,,,,,,,,127,,21,854,,,,181,,,,,,98,,,101,,,,,,23,,,644,,,,,,,,,148,,,,,1,,,16,,87,,,,,25,,157,,,42,,,,,,65,9,,,,,,,25,,,,,,,,,,15,,29,,,,,,,,,,,53,,,,,15,5100
Cutaneous Leishmaniasis,6,,Annamayya,0,,30,3372,,2,,,25,282,,,,,,,,,,,,,,19,,,,,,183,,15,655,2,,,741,,,,,8,,,,,,,,,,,,,408,,,,,,,,,181,,,,,,,,14,,,,,,,50,,268,,,152,,,,,,245,,,,,,1,15,,,,,,,,60,,2,,,,,,,,,,,,,,49,,,,,,6749
Cutaneous Leishmaniasis (Kala Azar),7,,Anugul,1,,31,2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1259,,,,636,,,,,,,,,103,,,,,,14,,,368,,,,,,,9,,177,,,,,3,,,15,,,,,,,6,,53,,4,72,,,,,,130,,,,,,,,,,,,,,,25,,,,,23,,,,,,,,,,,7,,,,,23,5601
Dengue,20838,,Anuppur,1,,32,2740,,,153,,,26,,,,,,,,,,,,,,,,,,,,169,,,581,,,,1612,12,,,,,,,,,,,,,,,,,458,,,,,,,,,287,,,,,1,,,7,,,,,,,3,,107,,,55,,,,,,102,,,,,,,,,,,,,,7,,,,,,16,,,,,,,,27,,,44,,,,,7,6414
Dengue and Chikungunya,413,,Aravalli,0,,33,2408,,,164,,,,,,,,,,,,,,13,,,,,,,,,73,,60,237,,,,229,,,,,4,,,,20,,,,,,7,,,791,,,,,,,,,104,,,,,2,,,5,,7,,,,,1,,105,,,6,,,,,,148,11,,,,,,,,,,,,,,,,,42,,,,,29,,,,,,,,104,,,,,9,4579
Dengue and Leptospirosis,34,,Ariyalur,1,,34,2620,,,,,,,,,,,,1,,,,,1,,,,,,,1,,31,,8,474,,1,,1083,,,,,19,,,,,,214,,,,,,,305,,,,,,,,,418,,,,,,,,17,,,,,,1,49,,4,,,43,,,,,,185,,,,,,,,,,,,,1,,,,,20,,,,,,,,,,,1,,100,,,,,3,5600
Dengue and Scrub Typhus,21,,"Arvalli, Mahisagar, Sabar Kantha",7,,35,2583,,21,,,,15,,,,,,,,,,,,,,,,,,,38,72,,,262,2,,,1615,4,,,,4,30,,,78,,,,17,,21,,,581,,,,,,,,5,78,,,,,1,,,,,35,,,,1,,,363,,,33,,2,,,,318,,,,,,,,,,,,,,,,,,111,110,,,,,,,,,,,,31,,,,,,6431
Diarrhoea,31,,Arwal,2,,36,2615,,,,,,116,,,,,,,,,,,,,,,,,,,,19,,10,186,,,,931,,,,,,,,,,,,,,,,,,330,,,,,,,,,162,,,,,3,,,,,,,,,,7,,5,,,86,,,,,,62,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,23,,,,,3,4726
Diphtheria,125,,Ashoknagar,0,,37,1727,,,,,,,,,,,,,,,,,,,,,,,,,,117,,18,258,,,,477,23,,,,4,,,,41,,,,,,35,11,,943,,,,,67,230,,,422,,,,,3,,,,,32,,,,2,,,241,,,138,,,,,,137,,,,,,6,,,,,,,,,,,,49,,,,,,,1,,,,,,,,,,,,4982
Dysentery,280,,Auraiya,3,,38,2098,,3,,,,,,,,,,,,,,,,,,,,,,,,12,,,126,,,,688,,,,,,,,,81,,,,,,13,,,292,,,,,,,19,,240,30,,,,1,,,3,,27,,,,7,6,,234,,,51,,,,,1,69,,,,,,1,,,,,,,,,,,,58,,,,,,,,,,,,,35,,,,,,4095
Dysentery (Shigella),15,,Aurangabad,8,,39,1448,,,,,,,,,,,,,,,,,1,,,,,,,,,36,,40,249,,,,381,,,,,,,,,61,,,,,,,,,362,,,,,,,,,290,,,,,1,,,2,,,,,,,12,,71,,,21,,,,1,1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3067
Enteric Fever,25,,Badgam,3,,40,1410,,,,,,33,,,,,,,,,,,5,,,,,2,,,,,,235,32,,,,535,,,,,17,35,,,101,,,2,,,,,,775,,,,,,,,,106,,,,,2,,,6,,12,,,,,7,,,,,5,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3407
Fever,1725,,Bagalkot,0,,41,1159,,,,,,11,,,,,,,,,,,,,,,,,,,,,,68,14,1,,,813,,,,,1,,,,24,,,,,,11,,,983,,,,,,,,,248,,,,,3,,,2,,17,,,,9,22,,17,,,71,,,,,,95,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,1,,3767
Fever and Upper Respiratandy Tract Infection (URTI),57,,Bagalkote,0,,42,1789,,,,,,200,,,,,,,,,,,4,,,,,,,,,133,,291,8,,,,707,11,,,,22,,,,62,,,,,,,,,781,,,,,,,,,483,,,,,,,,1,,,,,,,9,,10,,,82,,,,,,54,,,,,,,,,,,,,,,,,,15,,5,,,,,,,,,,,18,,,,,,4685
Fever of Unknown andigin (PUO),348,,Baghpat,0,,43,1257,,,,,,,,,,,,,,,,,3,,,,,,,,,57,,239,529,,,,3409,,,,,1,,,,,,,,,,,,,234,,,,,,,,,105,,,,,,,,,,55,,,,,15,,52,,,33,,,,,,241,,,,,,,,,,,,,,,,,,17,,128,,,,,,,,,,,92,,,,,1,6468
Fever of Unknown Cause,2,,Bahraich,0,,44,836,,4,,,,,,,,,,,,,,,,,,,,,,,,24,,45,113,,,,631,,,,,4,,,,,,51,,,,23,,,1076,,,,,,,,,65,,,,,4,,,10,,,,,,1,,,27,,,34,,,,,,169,,,,,,,,,20,,,,,,,,,14,,11,,,,,,,,,,,9,,,,,10,3181
Fever of Unknown Origin,17,,Bajali,3,,45,1059,,,,,,,,,,,,,,,22,1,,,,,,,,,,10,,435,117,,,,354,,,,,1,,,,,,,,,,,,,722,,37,,,,,241,,109,,,,,2,,,5,,,,,,,,,11,,,73,,,,,,125,,,,,,,,,,,,,,,,,,22,,50,,,,,,,,,,,,,,,,1,3397
Fever with Altered sensandium,3,,Baksa,1,,46,513,,,,,,,,,,,,,,,,,,,,,38,,,,,83,,122,358,,,,79,235,,,,,,,,,,,,,,50,,,914,,,,,,,,164,139,,,,,,,,7,,20,,,,1,14,,92,,,56,,,,,,171,,,,,,,,,,,,,,,44,,,51,,,,,,,,,,,,,22,,45,,,1,3219
Fever with Rash,2271,,Balaghat,0,,47,1285,,,,,,,,,,,,,,,,,,,,,,,,,,199,,210,,2,,,642,36,11,,,,55,,,55,,,,,,,,,793,,,,,,,,,304,,,,,2,,,1,,15,,,,1,13,,1155,,,83,,,,2,,158,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,1,,,,,,1,5049
Fever with Rash (Enterovirus),11,,Balangir,0,,48,1260,,,,,,,,,,,,,,,,,10,,,,,,,,,78,,34,,,,,147,,,,,1,,,,,,,,,,15,,,176,,,,,,,,,69,,,,,2,,,5,,,,,,,7,,4933,,,152,,,,,,145,,,,,12,,,,,,,,,,,,,,,15,,,,,,,,,,,,,24,,,1,7086
Filariasis,21,,Balasore,1,,49,1407,,,,,,,,,,,,,,,,,25,,,,,,,,,11,,65,235,,2,,102,,,,,10,,,,67,,,,,3,45,,,184,,,,,,,,,127,,,,,1,,,1,,,,,,,8,,24,,,116,,,,,,112,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,139,,,,,1,2688
Food Poisoning,45247,,Baleshwar,0,,50,592,,,,,,,,,,,,,,,,,22,,,,,,,,,114,,77,3021,,,,7,,,,,,,,,2,,,,,,12,,,546,,,,,,48,,,78,,,,,5,,,,,13,,,1,,21,,132,,,116,,,,,,239,,,,,,,,39,,65,3,,,,,,,6,,,,,,,,,,,,,50,,,,,1,5210
Food Poisoning (Mushroom Poisoning),14,,Ballari,0,,51,560,,,,,,31,,,,,,,,,,,,,,,,,,,,164,,70,21,1,,,1,,,,,,,,,194,16,,,,,22,,,1141,,,,,22,,,,165,,,,,5,,,,,28,,,,30,6,,,,,71,,,,,2,191,,,,,,,,,,11,,,,,,,,47,,,,,,,,,,,,,10,,,,,,2809
Food Poisoning (NandoVirus),110,,Ballia,0,,52,837,,,,,,319,,,,,,,,,,,,,,,,,,,,79,,55,367,,,,,,,,,,,,,15,41,,,,,,,,446,,,,,22,,,,298,,,,,2,,,,,,,,,2,,,1,,,32,,,,,,53,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,90,,,,,,2710
Food Poisoning (Shigella Sonnie),7,,Balod,2,,Grand Total,81416,32,236,317,3,25,3936,276,16,462,6,7,1,50,993,22,1,113,3,28,19,38,3,16,1,38,6888,12,3013,18054,11,6,7,20838,413,34,21,31,125,280,15,25,1725,57,348,2,17,3,2271,11,21,45247,14,110,7,5,162,301,326,203,10506,361,306,36,1,129,1,139,175,16,913,10,2,1102,179,523,23,10956,5,4,5295,160,4,5,16,14,6019,199,22,92,2,12,8,15,173,20,196,13,154,1,7,311,2,58,1120,110,441,24,7,34,2,1,7,16,27,1,1,1726,41,128,1,17,108,230658
Forest Disease,5,,Baloda Bazar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteritis,162,,Balrampur,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3N2,301,,Banaskantha,43,,Row Labels,Sum of Deaths,Sum of Cases,,Row Labels,Sum of Cases,Sum of Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Foot and Mouth Disease,326,,Banda,0,,Acute Diarrheal Disease,276,81416,,Acute Diarrheal Disease,81416,276,33.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis,203,,Bandipora,0,,Acute diarrheal disease (Klebsiella),1,32,,Acute diarrheal disease (Klebsiella),32,1,312.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis A,10506,,Bangalore,0,,Acute encephalitic syndrome,70,236,,Acute encephalitic syndrome,236,70,2966.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis A and E,361,,Banka,0,,Acute Encephalitic Syndrome (Chandipura Virus),139,317,,Acute Encephalitic Syndrome (Chandipura Virus),317,139,4384.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis B and C,306,,Bapatla,0,,Acute Flaccid Paralysis,0,3,,Acute Flaccid Paralysis,3,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis E,36,,Barabanki,0,,Acute Gastritis,0,25,,Acute Gastritis,25,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMPV,1,,Baramulla,0,,Acute Gastroenteritis,1,3936,,Acute Gastroenteritis,3936,1,2.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rabies,129,,Baran,0,,Acute Gastroenteritis (Norovirus),0,276,,Acute Gastroenteritis (Norovirus),276,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza,1,,Bardhaman,0,,Acute Hepatitis,0,16,,Acute Hepatitis,16,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influenza A,139,,Bargarh,0,,Acute Hepatitis A,3,462,,Acute Hepatitis A,462,3,64.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
